molecule_id,final_score,epoch_number,target_protein,miner_uid,smiles,miner_hotkey,miner_coldkey,created_at
rxn:1:61827:39638,0.1403888845443726,23193.0,Q4QQW4,33.0,Cc1cc(C=O)cnc1N(C)Cc1cn(-c2ccc(I)c(Br)c2)nn1,5FuhZEPyhXVUC4vTKCBVWQcFskkBKv4o1SBQhSVHypcoiViD,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-10T02:30:14+00:00
rxn:1:41907:23819,0.1403233011563619,23206.0,Q4QQW4,59.0,Clc1cc(I)ccc1-n1cc(C2(n3ccnn3)CCSCC2)nn1,5Cu82Kk362oZUA3Lk91TwYcmzpRbTL9YW5DFkRX91E9puZfM,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-10T18:09:29+00:00
rxn:1:41711:39639,0.1398395347595215,23193.0,Q4QQW4,44.0,Cc1nn(C)c(N(C)Cc2cn(-c3ccc(I)cc3Br)nn2)c1C=O,5FpRmU4tvJmF34RHSYNi1MjJyJCyhXqWRF7xzAQezLXDByA9,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-10T02:30:14+00:00
rxn:1:61788:14754,0.1396746206283569,23193.0,Q4QQW4,39.0,CC(Oc1ncc(N)cc1Br)c1cn(-c2ccc3c(c2)NCC3)nn1,5Fn1Br6GtecrJEef3wHjmo8ifjcYbEgoHLQKwEmt1LUe1wWb,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-10T02:30:14+00:00
rxn:1:50325:32589,0.1396088429859706,23189.0,Q4QQW4,41.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4ccc(Br)nc4F)nn3)C2(F)F)s1,5EJ7P3hso6z4FShPwohWEqfDAE3BXhNSTUkVA2NnLuGCJwX1,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-09T21:45:13+00:00
rxn:1:50325:39550,0.1395568297459529,23205.0,Q4QQW4,33.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4cc(Br)co4)nn3)C2(F)F)s1,5CtAbmpfdaNAsbyt9Cz5Nr4uimKHQPRrKia8WwYT8DKPLwvC,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-10T17:02:24+00:00
rxn:1:62064:660,0.1394444766797517,23205.0,Q4QQW4,37.0,O=S(=O)(c1ccccc1)n1cc(CCCCS)nn1,5GmtNRR8rcmLfC2ftC7dofFWemqaToHFJEjN65R8nhfrDhaf,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-10T17:02:24+00:00
rxn:1:61827:23819,0.1392802273233732,23205.0,Q4QQW4,45.0,Brc1cc(-n2cc(C3(n4ccnn4)CCSCC3)nn2)ccc1I,5FX1WLHvQnVsxsV6rGfek6atkUyoG69TEHUECHXTfRFqERCx,5FC9JzvvCLCE33xQYEiEuzeFGpUY3AbZkTyx731JjaV3mGkD,2026-06-10T17:02:24+00:00
rxn:1:43756:14754,0.1391939322153727,23206.0,Q4QQW4,46.0,CC(Oc1ncc(N)cc1Br)c1cn(-c2ccc(I)cc2F)nn1,5HKuuPHERHZ65EGs5UVTMPYN8sExcwusJw1AMcHXEv9yYtyN,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-10T18:09:29+00:00
rxn:1:59871:6349,0.1390809339025746,23206.0,Q4QQW4,63.0,O=C(Cl)OC1(c2cn(-c3c(F)cc(I)cc3F)nn2)CCCC1,5EJVufbr5VPeNXU7hPvffsVhn4iatubxYZnnzwgs2mVDpKVs,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-10T18:09:29+00:00
rxn:1:60111:2689,0.1387571522167751,23189.0,Q4QQW4,4.0,Fc1ncc(Cl)cc1-c1cn(I)nn1,5DUmwxNP3TLUF71vXZrCEhxvdGo72Mg3i97BhjCpTGZhdd3y,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-09T21:45:13+00:00
